"x" "y" "layer.1" "layer.2" "layer.3" "layer.4" "layer.5" "layer.6" "layer.7" "reino" "ids"
"1" -159 7 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 3700
"2" -157 7 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 3701
"3" -155 7 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 3702
"4" -153 7 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 3703
"5" -169 5 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 3841
"6" -167 5 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 3842
"7" -165 5 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 3843
"8" -163 5 19104.32557 327.1607739 -3.245686983 0.801336472 0.510480089 -0.20312109 16 "17" 3844
"9" -161 5 19104.32557 327.1607739 -3.245686983 0.801336472 0.510480089 -0.20312109 16 "17" 3845
"10" -159 5 19104.32557 327.1607739 -3.245686983 0.801336472 0.510480089 -0.20312109 16 "17" 3846
"11" -157 5 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 3847
"12" -155 5 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 3848
"13" -153 5 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 3849
"14" -151 5 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 3850
"15" -149 5 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 3851
"16" -179 3 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 3988
"17" -177 3 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 3989
"18" -175 3 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 3990
"19" -173 3 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 3991
