"x" "y" "meantemp" "rangetemp" "clorofil" "oxygen" "icecover" "ph" "phyto" "primaryprod" "salinity" "reino" "ids"
"1" -1 -1 26.42 6.478 0.215 209.21 0 8.251 1.423 0.012 35.277 21 4360
"2" -1 -11 24.204 6.117 0.077 212.54 0 8.217 0.817 0.002 36.234 21 5086
"3" -1 -13 23.244 6.569 0.084 215.64 0 8.211 0.806 0.002 36.409 21 5235
"4" -1 -15 22.329 7.243 0.157 219.527 0 8.207 0.98 0.005 36.423 21 5385
"5" -1 -17 21.845 7.123 0.206 223.034 0 8.203 1.096 0.007 36.315 21 5532
"6" -1 -19 21.565 6.735 0.173 225.041 0 8.199 1.009 0.005 36.202 21 5678
"7" -1 -21 21.333 6.462 0.107 225.9 0 8.197 0.81 0.002 36.118 21 5822
"8" -1 -23 21.143 6.53 0.083 226.684 0 8.195 0.722 0.001 36.08 21 5964
"9" -1 -25 20.934 6.911 0.1 227.819 0 8.194 0.815 0.002 36.056 21 6105
"10" -1 -27 20.628 7.169 0.129 229.363 0 8.194 1.056 0.003 36.011 21 6248
"11" -1 -29 20.177 7.199 0.147 232.014 0 8.196 1.311 0.003 35.931 21 6391
"12" -1 -3 25.953 6.567 0.207 210.21 0 8.243 1.449 0.012 35.748 21 4506
"13" -1 -31 19.596 7.25 0.155 235.161 0 8.201 1.408 0.003 35.829 21 6537
"14" -1 -33 18.717 7.356 0.169 239.708 0 8.208 1.427 0.004 35.638 21 6689
"15" -1 -35 17.422 7.602 0.196 245.557 0 8.216 1.435 0.004 35.285 21 6848
"16" -1 -37 15.789 7.813 0.234 253.153 0 8.224 1.442 0.005 34.891 21 7014
"17" -1 -39 13.645 7.18 0.262 263.463 0 8.229 1.444 0.006 34.525 21 7185
"18" -1 -41 11.849 5.868 0.291 274.075 0 8.23 1.442 0.005 34.362 21 7361
"19" -1 -43 10.326 5.089 0.32 281.218 0 8.226 1.421 0.004 34.24 30 7537
"20" -1 -45 7.75 5.163 0.318 291.806 0 8.218 1.383 0.004 33.962 30 7714
"21" -1 -5 25.807 6.148 0.171 208.684 0 8.236 1.305 0.008 35.939 21 4648
"22" -1 -7 25.461 6.16 0.153 208.994 0 8.229 1.192 0.006 35.867 21 4792
"23" -1 -9 24.953 6.052 0.124 210.722 0 8.223 1.04 0.005 35.976 21 4937
"24" -1 1 27.509 5.183 0.147 204.853 0 8.258 1.148 0.007 34.802 23 4214
"25" -1 3 27.806 5.279 0.255 204.498 0 8.265 1.608 0.013 34.624 23 4065
"26" -1 37 19.565 12.068 0.112 230.97 0 8.17 0.928 0.002 36.434 5 1829
"27" -1 45 15.898 11.649 0.438 254.806 0 8.145 2.264 0.009 33.134 3 1401
"28" -1 5 27.227 6.149 0.594 208.397 0 8.27 3.014 0.034 34.44 23 3916
"29" -1 51 12.441 11.516 0.601 272.066 0 8.117 2.806 0.011 34.161 3 1145
"30" -1 53 10.901 12.985 1.311 280.27 0 8.163 5.707 0.026 33.315 3 1055
"31" -1 55 10.492 11.03 0.72 279.08 0 8.192 3.179 0.012 34.396 3 965
"32" -1 57 10.247 9.776 0.589 279.469 0 8.204 2.535 0.009 34.87 3 875
"33" -1 59 10.113 8.135 0.623 280.207 0 8.205 2.562 0.01 35.192 3 786
"34" -1 61 9.904 6.838 0.616 281.175 0 8.2 2.52 0.011 35.279 3 708
"35" -1 63 9 7.206 0.5 287.517 0 8.197 2.176 0.008 35.163 3 649
"36" -101 -1 23.865 8.992 0.272 208.434 0 8.199 1.757 0.016 34.739 22 4324
"37" -101 -11 24.27 4.674 0.202 215.655 0 8.212 1.519 0.008 35.475 10 5055
"38" -101 -13 23.717 4.524 0.181 217.514 0 8.214 1.525 0.006 35.693 10 5203
"39" -101 -15 23.204 4.586 0.163 219.362 0 8.215 1.476 0.005 35.917 10 5352
"40" -101 -17 22.842 4.774 0.148 220.722 0 8.215 1.392 0.004 36.046 10 5497
"41" -101 -19 22.664 4.899 0.121 221.109 0 8.215 1.205 0.003 36.105 10 5643
"42" -101 -21 22.546 5.075 0.074 220.81 0 8.214 0.815 0.001 36.133 10 5786
"43" -101 -23 22.422 5.379 0.033 220.822 0 8.213 0.458 0 36.102 10 5926
"44" -101 -25 22.173 5.865 0.023 221.875 0 8.212 0.366 0 36.004 10 6066
"45" -101 -27 21.758 6.411 0.024 223.849 0 8.211 0.363 0 35.864 10 6208
