"EE" "vpd" "mpd" "ses.pd" "Fdiv" "Feve" "ses.fd" "richness"
"a" 0.472752968648863 0.0119043403093471 0.0135367970513993 0.90106992828053 7.32994830184007e-05 7.40472786107712e-05 0.000303216849048026 0.000528370748046308
"b" 0.396733202126214 5.26688293628824e-05 0.000516807031774434 0.931487400269459 0.000115918873657559 1.74261662107907e-06 0.00103675608147399 0.00128870629765045
"c" 0.469673735659689 2.13113530641493e-06 6.42048829962025e-06 0.999687425745232 6.32924782296472e-07 7.10116869927825e-09 1.85975177381707e-06 1.52285343650187e-06
"d" 0.460386285869883 0.000626288805077178 0.00648810641200702 0.90022933328891 0.00109413403351822 0.00177154478262689 0.00254588680120399 0.000254705876656075
"e" 0.419423576419086 0.0178520930087228 0.00185650463878393 0.538509160496543 0.00705482964812908 0.0277713027824076 0.085598409869943 0.17635769955547
"f" 0.393921602185489 0.0386943830309963 0.0134044548168878 0.412950936256412 0.00679405618600521 0.0083156390227655 0.414278911956408 0.0075316187305256
"g" 0.367144883413197 0.000853274079218274 0.000559672384946042 0.61491457984109 0.00140036855543585 0.0106298957283195 0.334250192428046 0.0291120169829435
"h" 0.292443103416454 0.00944914347326229 0.00152388776034919 0.180011077566034 0.00312988966766629 0.0195889155865781 0.735020235594938 0.0417568503511714
"i" 0.427716985730992 0.000102472081431265 0.00255729668081878 0.601168703385831 0.0015662835509715 0.0308054711349618 0.165884752656314 0.00486502050967121
"j" 0.474786301663808 0.00174437301200732 0.0136281473898447 0.9352508833393 3.13182610981792e-05 0.00158372460989036 0.00237366331848248 0.000547890069377592
"k" 0.352417537979076 5.39302811237857e-05 0.00354945064987493 0.956294557595852 0.000166960879321935 0.000345970059253995 0.0105176868049975 0.00683144372957627
"l" 0.480676672663418 1.5687455809968e-05 4.50007415325291e-05 0.99857635402177 9.94142043254271e-06 5.00809442095149e-05 3.72307500082701e-05 9.57046662376116e-05
"m" 0.363336154047457 0.00691239510079261 0.0133483907977493 0.60558123340469 0.00104440825073836 0.001164451908335 0.251238792505325 0.000170328032370464
"n" 0.361409544255628 6.18678306323116e-05 0.000598930466385897 0.906780827452278 4.12201342604539e-05 5.10078013097507e-05 0.0353445776516627 0.00956156866347073
"o" 0.462247950940309 0.000355513261757171 0.00793798071543693 0.820842624029236 3.97274705257017e-05 6.94843524334609e-05 0.0192556896411127 0.013628980529499
"p" 0.497399955882189 3.60311844369003e-08 0.00110483508457087 0.873449805077527 0.000204199868166811 0.000761715350661705 0.00651831174233965 1.09684555049362e-06
"q" 0.393944095355324 0.0467429830578929 0.00149164067523281 0.407686691199594 0.00487748545532697 0.00359772735668891 0.402408047121576 0.0277654251336873
"r" 0.290758850618743 0.00742986816703122 0.00320183518187423 0.764856611641441 0.00937819677082095 0.0241461379168013 0.115255250740561 0.0634620995814709
"s" 0.252037645635511 0.00843606665345746 0.0296463925829984 0.752194143372831 0.00327510767939911 0.000393843305936064 0.0838624469564957 0.0475619994488821
"t" 0.364622645293588 0.00210753166397636 0.00263898539777547 0.85710091376369 2.3178964062881e-05 0.000593657096634393 0.00646893513965921 0.0146167979742018
"u" 0.39679029402601 0.000102356426332841 0.000421493822734458 0.676312518166355 0.00160115521538286 0.00957988690718383 0.170431142678995 0.0121714467830155
"v" 0.341027249038465 0.00124687139868564 0.0166034399526827 0.608019345183159 0.0061056443264345 0.0200136115676328 0.0298287659358037 0.141872321635602
"w" 0.300242119186304 0.00578947752212013 0.00390490326074595 0.900916337239473 3.34453610292072e-05 0.00202971305886032 0.0355878943813137 0.000578229176456723
"x" 0.460066990891674 0.000762973398788739 0.0176661116006127 0.672147237838903 0.00018959402228199 0.000890681155323084 0.127890546689067 0.0313028552950232
"y" 0.398160378281415 0.000221670603746985 0.00192912688859248 0.938381980250463 0.000940806727083254 0.00104208939038209 0.0079267829421801 0.00187754319755123
"z" 0.48209772583538 1.96421452543291e-05 0.000667937125762887 0.93929944350356 0.000902767110630874 0.000601474560971168 4.68871211843228e-07 0.00215826668260898
"ab" 0.440695573918536 0.00411004730006126 0.000592098558075765 0.856127404727679 0.000221839057560651 0.00382076901182293 0.0475450729757178 0.00274276836908242
"ac" 0.256165664056707 0.086231216308337 0.00275231444667407 0.632472253331135 0.000147917275746995 0.00959538674908315 0.208735654494202 0.00324525739482192
